Subfolder,Image1,Image2,Matches_num,Good_matches_num,Good_matches_ransac_num,X_hist
"20231018_Ponder_9A_5,8",P1140113.JPG,P1140114.JPG,14589,1102,719,"[8, 20, 30, 30, 45, 37, 58, 46, 53, 28, 13, 8, 18, 10, 13, 19, 3, 4, 0, 0, 5, 12, 16, 8, 2, 4, 11, 17, 14, 5, 7, 14, 12, 18, 34, 27, 18, 20, 18, 14, 0, 0]"
"20231018_Ponder_9A_5,8",P1140114.JPG,P1140115.JPG,14271,294,147,"[0, 2, 12, 14, 14, 11, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 3, 11, 18, 34, 20, 0, 0]"
"20231018_Ponder_9A_5,8",P1140115.JPG,P1140116.JPG,16007,205,67,"[0, 9, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 24, 0, 0]"
"20231018_Ponder_9A_5,8",P1140116.JPG,P1140117.JPG,16596,285,120,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 11, 50, 32, 13, 0]"
"20231018_Ponder_9A_5,8",P1140117.JPG,P1140118.JPG,17316,337,195,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 20, 57, 57, 37, 5, 0]"
"20231018_Ponder_9A_5,8",P1140118.JPG,P1140119.JPG,17902,430,275,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37, 41, 56, 48, 59, 26, 0, 0]"
"20231018_Ponder_9A_5,8",P1140119.JPG,P1140120.JPG,18320,318,162,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 4, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32, 29, 29, 26, 21, 0, 0]"
"20231018_Ponder_9A_5,8",P1140120.JPG,P1140121.JPG,16444,173,46,"[0, 4, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 3, 5, 2, 1, 9, 4, 1, 3, 5, 4, 1, 0, 0, 0]"
"20231018_Ponder_9A_5,8",P1140121.JPG,P1140122.JPG,19486,179,43,"[0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 8, 10, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 4, 0, 1, 0, 0, 0, 0, 3, 3, 3, 0, 0, 0]"
"20231018_Ponder_9A_5,8",P1140122.JPG,P1140123.JPG,17234,188,64,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 9, 7, 4, 20, 8, 0]"
"20231018_Ponder_9A_5,9",P1130908.JPG,P1130909.JPG,14909,1873,1238,"[9, 27, 29, 36, 41, 39, 35, 39, 26, 29, 30, 35, 38, 29, 42, 54, 48, 42, 44, 43, 41, 36, 33, 51, 48, 36, 34, 21, 25, 16, 14, 11, 22, 27, 18, 18, 14, 22, 16, 16, 4, 0]"
"20231018_Ponder_9A_5,9",P1130909.JPG,P1130910.JPG,15595,1974,1311,"[1, 48, 41, 67, 72, 69, 67, 63, 64, 20, 11, 3, 11, 18, 24, 42, 39, 36, 40, 44, 50, 46, 36, 35, 21, 40, 48, 31, 46, 44, 28, 27, 30, 30, 15, 4, 0, 0, 0, 0, 0, 0]"
"20231018_Ponder_9A_5,9",P1130910.JPG,P1130911.JPG,16141,754,395,"[0, 0, 8, 25, 30, 31, 15, 8, 11, 8, 1, 2, 5, 3, 1, 3, 4, 0, 1, 9, 6, 4, 5, 11, 6, 10, 12, 7, 8, 5, 3, 6, 12, 8, 8, 8, 20, 23, 26, 26, 16, 0]"
"20231018_Ponder_9A_5,9",P1130911.JPG,P1130912.JPG,16545,463,227,"[23, 29, 27, 22, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 7, 23, 30, 38, 7, 0, 0]"
"20231018_Ponder_9A_5,9",P1130912.JPG,P1130913.JPG,17835,334,174,"[0, 18, 19, 8, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 30, 27, 36, 19, 0, 0]"
"20231018_Ponder_9A_5,9",P1130913.JPG,P1130914.JPG,18574,391,210,"[1, 28, 12, 5, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 23, 38, 33, 34, 6, 0]"
"20231018_Ponder_9A_5,9",P1130914.JPG,P1130915.JPG,18769,443,250,"[0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 17, 7, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39, 40, 60, 41, 16, 10, 0]"
"20231018_Ponder_9A_5,9",P1130915.JPG,P1130916.JPG,18447,506,297,"[0, 2, 16, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42, 57, 49, 45, 53, 17, 0]"
"20231018_Ponder_9A_5,9",P1130916.JPG,P1130917.JPG,18891,478,246,"[9, 22, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 28, 56, 29, 44, 40, 7, 0, 0]"
"20231018_Ponder_9A_5,9",P1130917.JPG,P1130918.JPG,19212,443,281,"[8, 25, 20, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 34, 72, 41, 39, 18, 0, 0]"
"20231018_Ponder_9A_5,9",P1130918.JPG,P1130919.JPG,18832,437,303,"[0, 2, 24, 15, 5, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 47, 54, 44, 39, 49, 20, 0]"
"20231018_Ponder_9A_6,11",P1130498.JPG,P1130499.JPG,14045,1058,777,"[5, 21, 29, 38, 29, 15, 22, 24, 33, 32, 23, 27, 31, 18, 18, 15, 10, 8, 7, 13, 16, 21, 14, 32, 33, 26, 13, 22, 23, 21, 30, 18, 16, 18, 10, 10, 20, 13, 3, 0, 0, 0]"
"20231018_Ponder_9A_6,11",P1130499.JPG,P1130500.JPG,14535,1452,960,"[0, 16, 30, 36, 51, 44, 32, 44, 51, 54, 42, 52, 32, 43, 45, 47, 41, 30, 22, 19, 20, 24, 17, 22, 27, 14, 19, 21, 18, 18, 14, 4, 2, 0, 0, 1, 0, 1, 3, 4, 0, 0]"
"20231018_Ponder_9A_6,11",P1130500.JPG,P1130501.JPG,15387,763,408,"[0, 0, 1, 2, 6, 3, 10, 2, 4, 3, 7, 30, 22, 17, 13, 14, 4, 7, 1, 1, 0, 0, 0, 2, 0, 3, 2, 5, 1, 1, 8, 8, 8, 14, 22, 21, 51, 48, 49, 18, 0, 0]"
"20231018_Ponder_9A_6,11",P1130501.JPG,P1130502.JPG,17476,317,163,"[0, 0, 0, 4, 8, 6, 2, 3, 3, 2, 1, 0, 2, 2, 0, 1, 0, 0, 0, 1, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 33, 38, 17, 6, 0, 0]"
"20231018_Ponder_9A_6,11",P1130502.JPG,P1130503.JPG,18672,429,196,"[10, 37, 22, 14, 4, 1, 0, 0, 1, 0, 0, 0, 0, 0, 4, 4, 3, 4, 0, 2, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27, 15, 16, 9, 9, 0, 0]"
"20231018_Ponder_9A_6,11",P1130503.JPG,P1130504.JPG,19422,446,193,"[0, 9, 26, 12, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 34, 27, 38, 23, 10, 0]"
"20231018_Ponder_9A_6,11",P1130504.JPG,P1130505.JPG,18576,410,190,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 6, 4, 6, 5, 6, 11, 3, 0, 1, 1, 1, 2, 2, 0, 4, 3, 8, 4, 1, 0, 0, 1, 0, 0, 0, 22, 34, 32, 23, 0, 0]"
"20231018_Ponder_9A_6,11",P1130505.JPG,P1130506.JPG,18942,418,201,"[0, 30, 43, 25, 12, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 24, 32, 21, 6, 0]"
"20231018_Ponder_9A_6,11",P1130506.JPG,P1130507.JPG,18679,389,172,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 5, 5, 8, 7, 11, 15, 2, 4, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20, 26, 41, 11, 0]"
"20231018_Ponder_9A_6,11",P1130507.JPG,P1130508.JPG,18398,413,179,"[0, 37, 25, 12, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25, 24, 25, 23, 5, 0]"
"20231018_Ponder_9A_6,11",P1130508.JPG,P1130509.JPG,18484,383,168,"[0, 0, 0, 0, 2, 0, 0, 1, 4, 9, 4, 11, 3, 9, 11, 2, 1, 0, 0, 1, 3, 0, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 31, 27, 28, 7, 0, 0]"
"20231018_Ponder_9A_6,12",P1130232.JPG,P1130233.JPG,14851,1952,1610,"[35, 44, 27, 48, 44, 44, 48, 51, 44, 41, 67, 47, 40, 57, 35, 34, 36, 43, 39, 29, 45, 34, 39, 49, 45, 52, 43, 34, 33, 45, 31, 24, 28, 36, 35, 47, 45, 42, 39, 11, 0, 0]"
"20231018_Ponder_9A_6,12",P1130233.JPG,P1130234.JPG,15001,1444,1123,"[39, 48, 40, 37, 30, 24, 28, 46, 49, 31, 46, 30, 17, 9, 20, 23, 31, 27, 26, 43, 31, 34, 26, 25, 31, 24, 31, 28, 21, 23, 32, 16, 10, 27, 21, 25, 32, 23, 10, 9, 0, 0]"
"20231018_Ponder_9A_6,12",P1130234.JPG,P1130235.JPG,14926,462,238,"[0, 9, 31, 49, 46, 19, 20, 13, 3, 3, 3, 8, 3, 3, 2, 1, 0, 2, 3, 8, 10, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"20231018_Ponder_9A_6,12",P1130235.JPG,P1130236.JPG,15992,472,236,"[33, 45, 36, 24, 18, 13, 11, 7, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 9, 13, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 4, 5, 2, 0, 0, 0, 0]"
